rou01;30;11;2018;1;52
rou02;30;11;2018;1;75
hav01;30;11;2018;1;163
die01;30;11;2018;1;24
rou01;30;11;2018;2;45
die01;30;11;2018;2;21
rou02;30;11;2018;2;73
hav01;30;11;2018;2;160
rou01;30;11;2018;3;24
hav01;30;11;2018;3;155
rou02;30;11;2018;3;70
die01;30;11;2018;3;23
die01;30;11;2018;4;23
rou02;30;11;2018;4;65
rou01;30;11;2018;4;32
hav01;30;11;2018;4;156
rou01;30;11;2018;5;50
rou02;30;11;2018;5;64
die01;30;11;2018;5;23
hav01;30;11;2018;5;161
hav01;30;11;2018;6;163
rou01;30;11;2018;6;59
rou02;30;11;2018;6;66
die01;30;11;2018;6;18
rou01;30;11;2018;7;83
rou02;30;11;2018;7;62
die01;30;11;2018;7;13
hav01;30;11;2018;7;181
rou02;30;11;2018;8;60
rou01;30;11;2018;8;141
die01;30;11;2018;8;14
hav01;30;11;2018;8;229
rou01;30;11;2018;9;184
rou02;30;11;2018;9;53
hav01;30;11;2018;9;271
die01;30;11;2018;9;16
die01;30;11;2018;10;18
rou01;30;11;2018;10;158
hav01;30;11;2018;10;250
rou02;30;11;2018;10;56
rou01;30;11;2018;11;116
die01;30;11;2018;11;15
rou02;30;11;2018;11;58
hav01;30;11;2018;11;246
hav01;30;11;2018;12;257
rou01;30;11;2018;12;119
rou02;30;11;2018;12;63
die01;30;11;2018;12;18
rou02;30;11;2018;13;67
hav01;30;11;2018;13;320
die01;30;11;2018;13;15
rou01;30;11;2018;13;129
rou01;30;11;2018;14;114
rou02;30;11;2018;14;66
hav01;30;11;2018;14;294
die01;30;11;2018;14;13
rou02;30;11;2018;15;67
rou01;30;11;2018;15;123
die01;30;11;2018;15;13
hav01;30;11;2018;15;285
rou01;30;11;2018;16;121
hav01;30;11;2018;16;306
die01;30;11;2018;16;16
rou02;30;11;2018;16;66
rou01;30;11;2018;17;151
rou02;30;11;2018;17;58
hav01;30;11;2018;17;334
die01;30;11;2018;17;18
die01;30;11;2018;18;22
hav01;30;11;2018;18;332
rou01;30;11;2018;18;176
rou02;30;11;2018;18;60
rou01;30;11;2018;19;134
die01;30;11;2018;19;23
hav01;30;11;2018;19;333
rou02;30;11;2018;19;68
rou02;30;11;2018;20;68
rou01;30;11;2018;20;94
hav01;30;11;2018;20;317
die01;30;11;2018;20;25
rou01;30;11;2018;21;73
die01;30;11;2018;21;25
hav01;30;11;2018;21;271
rou02;30;11;2018;21;70
rou01;30;11;2018;22;62
rou02;30;11;2018;22;73
hav01;30;11;2018;22;209
die01;30;11;2018;22;28
rou01;30;11;2018;23;52
die01;30;11;2018;23;23
rou02;30;11;2018;23;75
hav01;30;11;2018;23;176
rou02;30;11;2018;24;75
rou01;30;11;2018;24;44
hav01;30;11;2018;24;182
die01;30;11;2018;24;20
